152486,1,3
152943,89,5
152943,114,5
152958,141,5
152210,179,4
152943,186,5
152612,186,5
152338,188,5
152115,203,5
152115,206,5
152115,207,5
152115,208,5
152943,210,5
152210,210,3
152943,213,5
152210,213,3
152363,234,4
151989,234,5
151989,236,5
152910,260,5
152785,303,5
152062,312,3
152468,312,5
152630,354,5
152840,359,5
152532,359,5
152712,359,5
151980,359,4
152993,359,5
130347,359,4
152052,359,5
151933,462,5
153119,462,1
151983,462,3
151699,462,4
152196,462,4
151758,462,4
114964,462,4
151805,462,5
151895,564,2
151895,565,3
152512,574,3
152968,586,5
153110,590,3
152247,591,4
152259,599,1
152512,599,5
152512,604,3
151804,605,4
152491,627,5
152512,687,3
151953,692,4
152958,696,5
152607,696,4
152794,708,5
152335,708,5
151708,708,5
152800,722,4
152688,722,4
152485,722,4
152696,733,4
152204,733,4
122625,733,5
152132,733,4
152022,733,5
152279,733,5
152535,741,5
151853,742,5
151708,794,5
152512,801,3
152740,810,5
151950,815,5
118550,834,5
152592,840,4
118550,840,5
151708,854,5
152473,854,4
152607,863,4
152053,863,5
151817,874,3
152144,874,5
151840,874,5
118550,923,5
152000,923,4
152050,923,5
152769,982,5
151697,982,5
152954,999,5
152399,1003,3
153125,1013,5
152335,1013,5
152875,1031,5
152348,1074,5
152504,1075,1
152828,1114,5
152213,1152,3
152410,1191,4
152038,1302,5
153131,1308,4
152512,1308,4
152890,1309,2
151703,1309,3
151762,1330,5
151885,1477,3
151953,1501,4
151816,1509,5
152007,1624,5
153123,1799,5
152244,1799,5
152696,1823,4
151971,1830,2
152723,1845,5
151816,1845,5
151819,1845,5
152034,1845,5
152693,1845,5
151807,1845,3
152257,1845,5
152369,1845,5
152259,1845,5
152237,1845,5
151689,1845,5
153075,1845,5
152418,1845,5
152393,1845,5
152843,1845,5
152482,1845,5
118550,1968,5
152542,1969,5
152646,1970,2
151949,1970,5
152321,1970,5
151845,1970,5
152974,2041,5
151990,2062,4
151671,2066,4
151726,2066,5
151703,2066,4
151932,2087,5
151762,2088,5
152961,2093,4
153041,2101,5
151762,2101,5
151762,2103,5
151928,2116,4
151942,2121,3
151942,2124,3
152821,2129,5
152570,2129,3
152330,2129,4
152654,2141,4
119286,2168,5
152247,2191,5
151843,2267,5
152752,2279,5
152424,2330,5
152204,2347,1
153074,2362,5
152843,2422,5
125177,2422,4
152104,2422,5
152000,2422,5
151758,2422,4
152113,2460,5
151942,2467,3
